key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l254,21.944287;-4.727159;6.888264,,,
l255,23.542744;-4.748940;6.822840,,,
l256,24.310471;-3.271422;6.970860,,,
l257,25.989438;-3.181275;6.849417,,,
l258,44.935362;-2.340320;6.814018,,,
l259,27.322787;8.011532;6.828623,,,
l260,30.565518;8.164138;6.885968,,,
l261,21.144273;8.195414;6.978358,,,
l262,22.750734;8.194799;6.888014,,,
l264,19.167241;8.576878;6.947814,,,
l265,39.024207;9.312807;6.968631,,,
l267,22.908521;-3.457679;7.113286,,,
l268,26.858835;-2.179451;7.053565,,,
l269,29.210342;-1.655526;7.004727,,,
l270,46.860574;-1.344083;7.103685,,,
l271,36.480110;-1.183392;7.128459,,,
l273,20.231716;7.896533;7.187174,,,
l274,39.854938;9.050229;7.099731,,,
l275,25.181760;-2.939724;7.209972,,,
l276,25.560594;-2.140109;7.296376,,,
l277,47.710631;-0.645776;7.232419,,,
l278,47.226590;7.096822;7.249010,,,
l279,22.699262;7.310049;7.342179,,,
l280,40.746097;8.783631;7.241898,,,
l281,24.530098;-2.725585;7.588587,,,
l282,28.546137;-1.264447;7.488716,,,
l283,31.193455;1.775778;7.492705,,,
l284,49.540234;2.061732;7.521901,,,
l286,27.726090;8.089399;7.586345,,,
l287,26.938860;-1.447725;7.682531,,,
l288,35.224700;-0.754071;7.666758,,,
l289,31.996253;0.547812;7.676011,,,
l290,29.143400;1.459552;7.653052,,,
l291,27.102623;1.543594;7.734096,,,
l292,24.800434;1.786591;7.648903,,,
l293,24.863997;3.022633;7.708175,,,
l294,31.825080;4.321069;7.709464,,,
l295,31.225350;5.422001;7.607864,,,
l296,24.595525;5.689249;7.776308,,,
l297,28.787439;7.092522;7.788334,,,
l298,28.011625;7.553115;7.619640,,,
l299,31.330304;7.591948;7.745098,,,
l300,34.332952;7.881610;7.677932,,,
l301,25.632175;7.965289;7.659022,,,
l302,38.152359;8.053676;7.635678,,,
l303,23.822731;-2.512801;7.924472,,,
l305,29.989681;-0.798222;7.870134,,,
l306,32.647856;-0.874152;7.835399,,,
l307,32.695876;0.065794;7.845125,,,
l308,29.929528;0.432369;7.853110,,,
l309,36.565807;1.224053;7.967968,,,
l310,23.563970;1.503994;7.810194,,,
l311,23.590078;2.281082;7.841170,,,
l312,30.074827;4.038877;7.968138,,,
l313,25.011256;5.142984;7.865952,,,
l314,27.116204;5.197616;7.875032,,,
l315,23.046990;5.258657;7.827111,,,
l316,22.935440;6.837815;7.931418,,,
l317,32.397365;7.057959;7.968338,,,
l318,35.623812;7.156729;7.921612,,,
l319,39.238502;7.275047;7.815414,,,
l320,26.413167;7.778016;7.859754,,,
l321,28.652021;-0.603587;8.171640,,,
l322,46.888975;0.011451;8.143924,,,
l323,24.173302;-0.105310;7.998893,,,
l324,28.458733;0.334531;8.114947,,,
l325,36.822231;0.523933;8.020152,,,
l326,41.303162;1.038353;8.085676,,,
l327,40.890562;1.929649;8.011387,,,
l328,24.255066;3.958897;8.140964,,,
l329,28.042807;4.154181;8.087727,,,
l330,25.786754;4.647484;8.074712,,,
l331,36.992190;5.495261;8.153440,,,
l332,40.965134;5.802889;8.103685,,,
l333,40.401886;6.404806;8.011956,,,
l334,36.218681;6.760977;8.033270,,,
l335,27.380140;6.779829;8.052334,,,
l337,25.132550;-0.865728;8.328383,,,
l338,27.057859;-0.567145;8.338464,,,
l339,38.080863;3.533337;8.337450,,,
l340,28.840593;3.590387;8.294403,,,
l341,25.014767;3.734799;8.382981,,,
l342,26.838369;3.935800;8.363603,,,
l343,37.558800;4.371884;8.243192,,,
l344,42.486351;4.830528;8.376926,,,
