key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l1939,52.092053;-1.468625;8.092979,,,
l1941,46.963468;4.285139;8.120084,,,
l1942,29.936521;5.416713;8.013305,,,
l1947,35.571486;-1.156292;8.379918,,,
l1948,41.380338;-0.393895;8.494280,,,
l1949,50.267903;-0.319644;8.734893,,,
l1951,34.051801;2.855245;8.613602,,,
l1953,41.918066;3.818395;8.686460,,,
l1954,44.670319;7.197426;8.619032,,,
l1956,50.722713;1.981208;8.841457,,,
l1957,47.247161;-0.840039;9.034032,,,
l1958,47.828361;0.730281;9.168198,,,
l1959,47.611538;3.892987;9.166198,,,
l1960,44.617117;2.624134;9.327673,,,
l2233,43.686069;14.093838;0.136647,,,
l2479,15.527467;13.467061;0.680319,,,
l2481,44.735822;-6.517600;0.785905,,,
l2484,21.720918;13.567506;1.162048,,,
l2485,41.621849;13.281853;1.526688,,,
l2486,42.838238;13.313951;1.577937,,,
l2489,47.423066;13.003326;1.765226,,,
l2490,53.114822;12.781422;2.005895,,,
l2491,41.806682;13.067821;2.231523,,,
l2493,19.247762;13.195900;2.338389,,,
l2496,49.895182;-6.099649;2.568779,,,
l2497,29.589208;-6.021194;2.459718,,,
l2498,43.293530;-6.264180;2.829203,,,
l2500,53.030362;12.504989;2.926444,,,
l2501,32.742057;12.689159;2.723039,,,
l2505,53.487482;-6.014509;3.719119,,,
l2506,31.960661;-5.504909;3.653293,,,
l2509,47.912879;12.503420;4.251221,,,
l2510,35.708174;-5.993138;4.316389,,,
l2516,47.174102;10.854059;4.916704,,,
l2518,34.019482;-5.994287;5.050780,,,
l2519,34.673388;-5.916643;5.186677,,,
l2522,53.568609;-4.977712;5.552065,,,
l2523,54.400463;9.277382;5.792858,,,
l2524,55.004273;10.029537;5.895420,,,
l2527,56.650405;-3.999219;5.948967,,,
l2528,57.220321;-3.676282;6.021739,,,
l2529,56.228008;8.139373;5.999070,,,
l2533,51.055803;9.586714;6.253997,,,
l2534,31.212978;9.793796;6.247637,,,
l2536,52.359912;-4.597512;6.284630,,,
l2537,52.221491;8.579757;6.393615,,,
l2538,53.489488;7.532148;6.553322,,,
l2540,43.326452;10.542557;6.607390,,,
l2542,44.876980;9.513817;6.841317,,,
l2544,58.880107;1.117441;7.273163,,,
l2545,33.661502;8.256353;7.264211,,,
l2546,39.010761;-4.707383;7.328026,,,
l2547,53.639195;1.490193;7.386793,,,
l2548,59.395000;4.816299;7.398309,,,
l2549,50.319420;-3.278271;7.667776,,,
l2551,54.900404;4.507021;7.655176,,,
l2553,51.264806;-2.384555;7.845278,,,
l2555,47.084930;5.908757;7.908116,,,
l2558,44.989470;-1.398236;8.077246,,,
l2559,37.707947;-1.082898;8.076002,,,
l2560,48.354422;3.863203;8.123880,,,
l2561,43.198255;-1.476976;8.355920,,,
l2563,43.928694;1.126081;8.550677,,,
l2564,37.216581;2.000408;8.538519,,,
l2567,47.732767;5.101290;8.843532,,,
l2568,48.887377;0.688147;9.034045,,,
l2569,48.417993;2.700832;8.944316,,,
l2570,43.880781;3.642429;9.336548,,,
l2626,38.671568;9.725926;6.731500,,,
l2723,47.313512;12.605312;0.108398,,,
l2724,35.882893;13.913069;0.110691,,,
l2727,18.515984;14.022232;0.410957,,,
l2728,20.586061;14.383029;0.432154,,,
l2729,41.585055;-7.198360;0.627336,,,
l2732,45.771261;-6.150800;0.714595,,,
l2733,63.241034;12.744926;1.182771,,,
l2735,54.685813;-7.532692;1.776163,,,
l2736,33.834017;-5.840510;1.717143,,,
l2738,58.941462;-6.778238;1.956305,,,
l2740,37.310659;12.734897;2.280783,,,
l2741,51.568208;-6.018154;2.431068,,,
l2744,47.425117;12.638481;3.080212,,,
l2746,36.843523;-6.102296;3.440833,,,
l2747,43.086112;13.172863;3.415077,,,
l2748,48.133196;-6.298513;3.666318,,,
l2751,49.977314;12.426358;4.082611,,,
l2754,51.858832;12.579175;4.283810,,,
l2758,49.458621;10.986648;4.756294,,,
l2761,31.722228;-5.885487;5.455478,,,
l2762,45.073882;10.331314;5.561456,,,
l2763,56.668311;10.778410;5.663075,,,
l2766,58.785615;-4.436851;5.754727,,,
l2767,58.482314;8.606501;5.826979,,,
l2771,34.676898;-4.927733;6.247174,,,
l2772,35.390825;-4.424720;6.426450,,,
